Source,FeatureID,Alt name,Constr,Period,Subperiod,BackupID,LocShort,LocLong
"GD1980.P.322 (assumed thickness 1 m; assumed construction identical to MU-AS0003e)",MU-AS0020r,,"rubble joined with lime, lined with opus reticulatum",Roman,"Phase 1, Phase 2",ac94d17334ba094ce64691b34ab0d230,"C.IV.4,7,8,11; D.III.14,15; D.IV.1,2,5","C.IV.4; C.IV.7; C.IV.8; C.IV.11; D.III.14; D.III.15; D.IV.1; D.IV.2; D.IV.5"
"GD1980.P.320 (assumed thickness 1 m; assumed construction identical to MU-AS0003e)",MU-AS0021r,,"rubble joined with lime, lined with opus reticulatum",Roman,"Phase 1, Phase 2",c2bb160936e1e5e77f2e24a86fd2a5e1,"D.III.12,15,16; E.III.9","D.III.12; D.III.15; D.III.16; E.III.9"
GD1980.P.320 (assumed thickness 0.6 m),MU-AR0019r,,opus quadratum,Roman,"Phase 1, Phase 2",4a697639308de42e3ad92064f85006f5,"C.IV.2,6,7","C.IV.2; C.IV.6; C.IV.7"
GD1980.P.320,MU-FA0016r,,opus quadratum,Roman,"Phase 1, Phase 2",49eb0464f96be3ca4f27adfc80c213d0,"C.IV.2,6","C.IV.2; C.IV.6"
GD1980.P.320,MU-AR0020r,,opus quadratum,Roman,"Phase 1, Phase 2",99d81a1947b34e7195612d3246ae8e71,"C.IV.3,7","C.IV.3; C.IV.7"
GD1980.P.320,MU-AR0021r,,opus quadratum,Roman,"Phase 1, Phase 2",13a8c77fa947ed10447d1d55d9840375,C.IV.4,C.IV.4
GD1980.P.320,MU-AR0022r,,opus quadratum,Roman,"Phase 1, Phase 2",3fad90c812a0010f00fc29cd91793d95,"C.III.16; C.IV.4; D.III.13; D.IV.1","C.III.16; C.IV.4; D.III.13; D.IV.1"
GD1980.P.320,MU-AR0023r,,opus quadratum,Roman,"Phase 1, Phase 2",c8a2e96ab4d0707fe05a323cdc6ed4a6,"D.III.13,14; D.IV.1,2","D.III.13; D.III.14; D.IV.1; D.IV.2"
GD1980.P.320,MU-AR0024r,,opus quadratum,Roman,"Phase 1, Phase 2",ef554bebe7a57364d828f5f1657458b4,"D.III.10,14","D.III.10; D.III.14"
GD1980.P.320,MU-AR0025r,,opus quadratum,Roman,"Phase 1, Phase 2",914f976182d10b33519adfb8399dac13,"D.III.11,15","D.III.11; D.III.15"
GD1980.P.320,MU-AR0026r,,opus quadratum,Roman,"Phase 1, Phase 2",2c08227575cc875319e89eb9563667f4,"D.III.7,11,12","D.III.7; D.III.11; D.III.12"
GD1980.P.320,MU-AR0027r,,opus quadratum,Roman,"Phase 1, Phase 2",c1706c72466d74b93db25060cbc42aad,"D.III.8,12; E.III.9","D.III.8; D.III.12; E.III.9"
GD1980.P.320,MU-FA0019r,,opus quadratum,Roman,"Phase 1, Phase 2",5f9ef7c7a65449a2195f1e5e9f017ea0,"C.III.16; D.III.13","C.III.16; D.III.13"
GD1980.P.320 (assumed width 1.8 m),MU-FA0020r,,opus quadratum,Roman,"Phase 1, Phase 2",1667b1b2c8c5722e0cdd4befc7a41ab1,D.III.13,D.III.13
GD1980.P.320 (assumed width 1.8 m),MU-FA0021r,,opus quadratum,Roman,"Phase 1, Phase 2",67af4d106a3f00a692491b54876061bf,D.III.10,D.III.10
GD1980.P.320 (assumed length 1.8 m),MU-FA0022r,,opus quadratum,Roman,"Phase 1, Phase 2",4a4553c4a3265d06c1b4b94e8b4cdea6,"D.III.10,11","D.III.10; D.III.11"
GD1980.P.320 (assumed width 1.8 m),MU-FA0023r,,opus quadratum,Roman,"Phase 1, Phase 2",b8bd6b8b6be23765d2db33ea552d717f,"D.III.7,8,11","D.III.7; D.III.8; D.III.11"
"GD1980.P.320 (assumed width 1.8 m; assumed centered opening of the neighboring apse)",MU-FA0024r,,opus quadratum,Roman,"Phase 1, Phase 2",3afbdc967a62cbf8a8a4eadd94c8f5dc,D.III.8,D.III.8
GD1980.P.320,MU-SN0001e,wall N,opus caementicium,Roman,Phase 2,7128c77ecaabb6c2f1030c6e241374c8,"C.V.7,8,11,12; D.V.1,5,6,9","C.V.7; C.V.8; C.V.11; C.V.12; D.V.1; D.V.5; D.V.6; D.V.9"
GD1980.P.320,MU-SN0002e,wall N,opus caementicium,Roman,Phase 2,63849c53e774d0dd73b2fb820db9e123,"D.IV.15,16; D.V.2,3,4,6,7","D.IV.15; D.IV.16; D.V.2; D.V.3; D.V.4; D.V.6; D.V.7"
GD1980.P.320,MU-SE0002e,wall Es,opus quadratum,Roman,Phase 2,bfc875aae0c34fff5969ff8052c53c8b,"D.IV.13; D.V.1,2,5,6","D.IV.13; D.V.1; D.V.2; D.V.5; D.V.6"
GD1980.P.320,MU-SE0001e,wall Es,opus quadratum,Roman,Phase 2,031998a0db137d1ddd784d9605da7698,"C.IV.12,16; D.IV.13","C.IV.12; C.IV.16; D.IV.13"
GD1980.P.320,MU-SX0003e,,opus caementicium,Roman,Phase 2,e23a6f7ae3b679bb36c1b1eb6d7d04a5,"D.IV.6,10,11,14,15; D.V.3","D.IV.6; D.IV.10; D.IV.11; D.IV.14; D.IV.15; D.V.3"
GD1980.P.320,MU-SS0002e,wall S,opus caementicium,Roman,Phase 2,44107aeeb4b374a802f1aee20e2801cd,"D.IV.5,6,7,9,10","D.IV.5; D.IV.6; D.IV.7; D.IV.9; D.IV.10"
GD1980.P.320,MU-SX0002e,,opus caementicium,Roman,Phase 2,19510accdd9677eeccbd8ad1b4c7a506,"C.IV.16; C.V.2,3,4","C.IV.16; C.V.2; C.V.3; C.V.4"
GD1980.P.320,MU-SX0001e,,opus caementicium,Roman,Phase 2,2c4e435402debf9a08575c960c7cf050,"C.V.4,7,8","C.V.4; C.V.7; C.V.8"
B1.P.168a-1,MU-SS0005r,wall S,opus caementicium,Roman,Phase 2,3c593af3e71771db7a65265734cb2e89,"C.IV.11,15","C.IV.11; C.IV.15"
B1.P.168a-1,MU-SS0004r,wall S,opus caementicium,Roman,Phase 2,94853103a0b7989affbb3475e057ffd5,"C.IV.14,15","C.IV.14; C.IV.15"
B1.P.168a-1,MU-SS0003r,wall S,opus caementicium,Roman,Phase 2,fc6858cca47b2ef426cadc0dbb12b963,C.IV.14,C.IV.14
B1.P.168a-1,MU-SO0002r,wall O,opus caementicium,Roman,Phase 2,3fbd34db40a58fcb649e6a17de8813fc,"C.IV.14; C.V.1,2","C.IV.14; C.V.1; C.V.2"
B1.P.168a-1 (wall in this figure is unrealistically wide),MU-SE0003r,wall Es,opus quadratum,Roman,Phase 2,54b3d3ed644655abdcf0e9acd338378a,D.IV.13,D.IV.13
B1.P.168a-1,MU-SS0006r,wall S,opus caementicium,Roman,Phase 2,268db09592e833ce49e491d7f4779188,"C.IV.12; D.IV.5,9,10","C.IV.12; D.IV.5; D.IV.9; D.IV.10"
B3.P.064a (shown more clearly in B3.P.013),MU-AS0011e,,"opus quadratum (base); brick-like stonework (impost)",Roman,Phase 2,f1f47fa0992c98962cd1996d1ada9a23,"M.VIII.12,16","M.VIII.12; M.VIII.16"
B3.P.064a,MU-AR0090r,,opus quadratum,Roman,Phase 2,9fd1c1f6342672683115bcb13bf95b7b,"M.VIII.12,16; N.VIII.9,13; N.IX.1","M.VIII.12; M.VIII.16; N.VIII.9; N.VIII.13; N.IX.1"
B3.P.064a,MU-AR0089r,,opus quadratum,Roman,Phase 2,4a146ea0d84a84bf81646cd5bf87742b,"N.VIII.5,6","N.VIII.5; N.VIII.6"
B3.P.064a,MU-AR0088r,,opus quadratum,Roman,Phase 2,4a1b1d7d1726c8cdbf480d313abf37f0,"M.VIII.4; N.VII.13; N.VIII.1","M.VIII.4; N.VII.13; N.VIII.1"
B3.P.064a,MU-AR0087r,,opus quadratum,Roman,Phase 2,5825c821322071c41d87e91e71cfe60b,"M.VII.12,15,16; N.VII.9","M.VII.12; M.VII.15; M.VII.16; N.VII.9"
B3.P.064a,MU-AR0086r,,opus quadratum,Roman,Phase 2,2d97d3b721fea64cd33ca5d27f928f9c,"M.VII.7,8,11","M.VII.7; M.VII.8; M.VII.11"
B3.P.064a,MU-AR0077r,,opus quadratum,Roman,Phase 2,c8c25c4ae8a62e38e0b7fb61f37212fe,"K.V.11,15,16; K.VI.3,4","K.V.11; K.V.15; K.V.16; K.VI.3; K.VI.4"
B3.P.064a,MU-AS0065r,,"opus quadratum (base); brick-like stonework (impost)",Roman,Phase 2,ae244af09eb96a56f0681ca039421fda,"K.V.16; K.VI.3,4; L.V.9,10,13,14; L.VI.1","K.V.16; K.VI.3; K.VI.4; L.V.9; L.V.10; L.V.13; L.V.14; L.VI.1"
B3.P.064a,MU-AR0078r,,opus quadratum,Roman,Phase 2,a3b48cf2f5dd67a2242b329cc8ec9a40,"K.V.12,16; L.V.13","K.V.12; K.V.16; L.V.13"
B3.P.064a,MU-AR0079r,,opus quadratum,Roman,Phase 2,b2938f80ee516f97dbcfbd8d823e0343,"L.V.5,9,10","L.V.5; L.V.9; L.V.10"
B3.P.064a,MU-AR0080r,,opus quadratum,Roman,Phase 2,f7386a26f2f7b97227967c56fcef3c07,"L.V.8,10,11,12","L.V.8; L.V.10; L.V.11; L.V.12"
B3.P.064a,MU-AR0081r,,opus quadratum,Roman,Phase 2,d74119708aea3f32aa10d6d985a2d9b8,"L.V.15,16; L.VI.3","L.V.15; L.V.16; L.VI.3"
B3.P.064a,MU-AR0082r,,opus quadratum,Roman,Phase 2,0b612d0f1ee0bbe955b8e96e0482a810,"L.VI.4,8; M.VI.1,5","L.VI.4; L.VI.8; M.VI.1; M.VI.5"
B3.P.064a,MU-AR0083r,,opus quadratum,Roman,Phase 2,75a0d0224558fe65af8bbaf95b425b94,"M.VI.5,9,10","M.VI.5; M.VI.9; M.VI.10"
B3.P.064a,MU-AR0084r,,opus quadratum,Roman,Phase 2,08e9031a09219c2608f72236cb3ea4b0,M.VI.6,M.VI.6
B3.P.064a,MU-AR0085r,,,Roman,Phase 2,2f1ed460dae389d3cde6b3624e4ccbac,"M.VII.2,6","M.VII.2; M.VII.6"
B3.P.064a (assumed length 2.6 m),MU-FA0084r,,opus quadratum,Roman,Phase 2,cd65fbd7bac5d27ddca5ea75a08e9a83,"L.V.8,12","L.V.8; L.V.12"
B3.P.064a (assumed length 4.2 m),MU-FA0085r,,opus quadratum,Roman,Phase 2,60f6c52161071a46b458cb60699badab,"L.V.12,16; M.V.13","L.V.12; L.V.16; M.V.13"
B3.P.064a (assumed length 4.2 m),MU-FA0086r,,opus quadratum,Roman,Phase 2,91ea03cd2293bf7875a830e60fa0c2b8,M.VI.1,M.VI.1
B3.P.064a (assumed length 4.2 m),MU-FA0087r,,opus quadratum,Roman,Phase 2,c8a8ea2470df087a9bfbe7ee93e22130,"M.VI.6,10","M.VI.6; M.VI.10"
B3.P.064a (assumed southward extent symmetrical to northward extent shown in map),MU-FA0089r,,opus quadratum,Roman,Phase 2,220e08777712f75e3d4cfa6cc5c93413,"M.VI.15; M.VII.3,4","M.VI.15; M.VII.3; M.VII.4"
B3.P.064a (assumed length 4.2 m),MU-FA0090r,,opus quadratum,Roman,Phase 2,01ce1675145f99ed76a7bb7e3801cd0c,M.VII.8,M.VII.8
B3.P.064a (assumed length 4.2 m),MU-FA0091r,,opus quadratum,Roman,Phase 2,e2a5e628cb42683dbf6a0a89f378ed4e,"M.VII.12; N.VII.9,13","M.VII.12; N.VII.9; N.VII.13"
B3.P.064a (assumed length 4.2 m),MU-FA0092r,,opus quadratum,Roman,Phase 2,65f8b61f1eed3fe678101ee85024194d,"N.VII.13,14; N.VIII.1,2","N.VII.13; N.VII.14; N.VIII.1; N.VIII.2"
B3.P.064a (assumed length 2.6 m),MU-FA0093r,,opus quadratum,Roman,Phase 2,a14832c8714f6716154334900c291941,"N.VIII.2,6","N.VIII.2; N.VIII.6"
B3.P.064a,MU-AS0067r,,"opus quadratum (base); brick-like stonework (impost)",Roman,Phase 2,e7c9950d83048f51d45a5fe620cb3a88,"M.VIII.11,12,15; N.VIII.9","M.VIII.11; M.VIII.12; M.VIII.15; N.VIII.9"
B3.P.064a,MU-AS0008e,,,Roman,Phase 2,d07fa97720f989ffa72c737ed7faee6b,L.VI.8,L.VI.8
"B3.P.064a (assumed length 2.3 m, proportional to coverage for northeastern apses)",MU-FA0097r,,opus quadratum,Roman,Phase 2,b616d8948d3cdc068889ed2c7237b511,"M.IX.7,8","M.IX.7; M.IX.8"
"B3.P.064a (assumed length 3.6 m, proportional to coverage for northeastern apses)",MU-FA0096r,,opus quadratum,Roman,Phase 2,96fb1ac8e5ae1734dcef4af2248c92a9,"M.IX.4; N.IX.1","M.IX.4; N.IX.1"
"B3.P.064a (assumed length 2.3, proportional to coverage for northeastern apses)",MU-FA0095r,,opus quadratum,Roman,Phase 2,d8738870a7270d332f64b304539c8deb,"N.VIII.13; N.IX.1","N.VIII.13; N.IX.1"
"B3.P.064a (assumed length 2.6 m, proportional to coverage for northeastern apses)",MU-FA0080r,,opus quadratum,Roman,Phase 2,122416b8c4e22ebde4484cd3bd35bfad,"K.V.10,11","K.V.10; K.V.11"
"B3.P.064a (assumed length 3.6 m, proportional to coverage for northeastern apses)",MU-FA0081r,,opus quadratum,Roman,Phase 2,e8a9d64c361d2caec81db2b7bd96e16e,"K.V.8,11,12","K.V.8; K.V.11; K.V.12"
"B3.P.064a (assumed length 2.3 m, proportional to coverage for northeastern apses)",MU-FA0082r,,opus quadratum,Roman,Phase 2,357601d45cb66d3ba2aecf2fae101ef7,"K.V.8; L.V.5","K.V.8; L.V.5"
B1.J.100b,MU-SD0002e,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",a95e677781170c0850e63ccb8b48dc62,"E.IV.12,15,16; F.IV.6,9,10","E.IV.12; E.IV.15; E.IV.16; F.IV.6; F.IV.9; F.IV.10"
B1.J.100b (assumed separate from other adjacent walls based on B2.J.010a),MU-SD0003e,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",a78af3546dded039d98c296c06a153d0,F.IV.7,F.IV.7
B1.J.100b (assumed separate from other adjacent walls based on B2.J.010a),MU-SD0004e,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",711042add18a32fa52c12a3068857b5f,"F.IV.3,4,7,8; G.IV.1","F.IV.3; F.IV.4; F.IV.7; F.IV.8; G.IV.1"
B2.J.218 (assumed separate from other adjacent walls based on B2.J.010a),MU-SD0005e,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",3852dcb426b5b37dbb2163598b62cacc,"G.III.13; G.IV.1","G.III.13; G.IV.1"
B2.J.010a,MU-SD0013r,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",aff2a5d47e26ec79c998052c6e46da44,G.IV.1,G.IV.1
B2.J.010a (assumed wall continues under later wall),MU-SD0012r,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",413b2f4400af9b66020ede958510db06,F.IV.7,F.IV.7
B2.J.010a,MU-SD0011r,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",73da250eed5d8e4fbbd624df722c231d,"F.IV.6,7,10","F.IV.6; F.IV.7; F.IV.10"
"assumed MU-SD0001e originally continuous with MU-SD0002e; assumed N side colinear with N side of MU-SD0001e",MU-SD0010r,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",9d8b1b46ec02751eec123ff4ffcd5767,"E.IV.14,15; E.V.1,2","E.IV.14; E.IV.15; E.V.1; E.V.2"
B1.P.227,MU-SF0004e,wall F,,Roman,Phase 2,187fb8ce5edf66ea7d958a9382f473f0,"H.III.13; H.IV.1","H.III.13; H.IV.1"
B1.P.227,MU-SF0005e,wall F,,Roman,Phase 2,80f1ed6f6ee1425fc82a7cc484f99c92,"H.III.11,15","H.III.11; H.III.15"
B1.P.227,MU-SG0003e,wall G,,Roman,"Phase 1, Phase 2",9c8d9c842404cdab73346c276e4bd269,"H.III.11,12,15,16","H.III.11; H.III.12; H.III.15; H.III.16"
B1.P.199,MU-SD0006e,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",f1b042c56f9972a9b4eeda394540093f,"H.III.5,6","H.III.5; H.III.6"
B1.P.199,MU-SD0007e,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",2e731f6a903056ec3930aaafea455a3a,"H.III.2,3,6","H.III.2; H.III.3; H.III.6"
"D1990.K.151 (assumed same width as MU-SD0018r; assumed N side flush with AX-007)",MU-FA0058h,,,Roman,"Phase 1, Phase 2",c319762e224aa6997e5deaa6a1867ead,"J.I.14,15; J.II.2,3","J.I.14; J.I.15; J.II.2; J.II.3"
assumed smooth façade,MU-SD0017r,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",0c94158d89abf73a97490f620c090580,H.III.3,H.III.3
assumed smooth façade,MU-SD0016r,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",36544837669d1302ef559a9721a6e1ad,H.III.3,H.III.3
B1.P.199,MU-SD0015r,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",1b84d7cdbe626f8d5e5c775b7795a5a8,"H.III.2,5,6","H.III.2; H.III.5; H.III.6"
assumed MU-SD0005e originally continuous with MU-SD0006e as shown in B2.J.010a,MU-SD0014r,"wall D, Lapeyre's wall",,Roman,"Phase 1, Phase 2",ec9b8c67ee345eec6eb88cfb12a08c7f,"G.III.8,11,12,13,14,15; G.IV.1H.III.5,9","G.III.8; G.III.11; G.III.12; G.III.13; G.III.14; G.III.15; G.IV.1; H.III.5; H.III.9"
B1.P.227,MU-SF0008r,wall F,,Roman,Phase 2,e6fe031d7a2ea084618683f140cc748a,"H.III.11,13,14,15; H.IV.1,2","H.III.11; H.III.13; H.III.14; H.III.15; H.IV.1; H.IV.2"
B1.P.227 and B1.P.078,MU-SF0007r,wall F,,Roman,Phase 2,2746962a063cf67ab7fa0caf41139298,"G.IV.4; H.IV.1","G.IV.4; H.IV.1"
"B2.J.218 (this feature is also shown in B1.P.078, where it is poorly aligned with MU-SF0004e in B1.P.227, with which this feature is assumed to be contiguous)",MU-SF0003e,wall F,,Roman,Phase 2,c16307dd3dc67e7817a8e863e9e9ce2a,G.IV.4,G.IV.4
"B1.P.186a (assumed to be more trustworthy than B1.P.078, which seems to be more poorly aligned with other maps of this area)",MU-SG0002e,wall G,,Roman,"Phase 1, Phase 2",560ece319dd6a2ac48a22ea556c1844a,"G.IV.4,7,8","G.IV.4; G.IV.7; G.IV.8"
B1.P.186a (assumed to be part of a wall based on dotted lines on map),MU-SG0001e,wall G,,Roman,"Phase 1, Phase 2",9efab9c060286821268779c1f6e3ee6a,G.IV.10,G.IV.10
B1.J.100b,MU-SF0002e,wall F,,Roman,Phase 2,84afc87362def01354ac88713f912288,"E.V.8; F.V.5","E.V.8; F.V.5"
B1.J.100b,MU-SF0001e,wall F,,Roman,Phase 2,9ad12540c05dd6755fc1e91159ca0718,"E.V.7,10,11","E.V.7; E.V.10; E.V.11"
B1.P.186a,PI-E0005e,pile E5,stones bound with clay,Roman,"Phase 1, Phase 2",14b2899f6ebe3025a74272f9abbb38fd,H.III.7,H.III.7
"B2.J.010a (unclear if this part of the pile is extant, since it is not traced on any map except B2.J.010a; assumed to be reconstructed)",PI-E0024r,pile E5,stones bound with clay,Roman,"Phase 1, Phase 2",7327c5630886b3a8c757815276621350,"H.III.7,11","H.III.7; H.III.11"
B1.P.186a,PI-E0004e,pile E4,stones bound with clay,Roman,"Phase 1, Phase 2",6610bd3b5ce4e555fd6ea34fea56447c,H.III.10,H.III.10
B1.P.186a,PI-E0003e,pile E3,stones bound with clay,Roman,"Phase 1, Phase 2",89c64e724cc21aaea803fe1b396f6ecd,"H.III.9,10,13","H.III.9; H.III.10; H.III.13"
B1.P.186a,PI-E0002e,pile E2,stones bound with clay,Roman,"Phase 1, Phase 2",13fb12954ab0abf883f970005cf3bf07,"G.III.16; H.III.13","G.III.16; H.III.13"
B2.J.078a-1,PI-E0023r,pile E3,stones bound with clay,Roman,"Phase 1, Phase 2",06949ac6b36823c0d79f382cd5074e41,H.III.13,H.III.13
B2.J.218,PI-E0001e,pile E1,stones bound with clay,Roman,"Phase 1, Phase 2",ac2bc6662e868514023e51f3d3d1e303,"G.III.15,16; G.IV.4","G.III.15; G.III.16; G.IV.4"
B1.P.186a,PI-E0006e,pile E6,stones bound with clay,Roman,"Phase 1, Phase 2",3509406ecbcdb34e7514d28ce60d5e73,"G.IV.2,6","G.IV.2; G.IV.6"
"B1.P.186a (assumed location halfway between PI-E0006e and PI-E0001e; assumed width and length of approximately 1.8 m)",PI-E0022r,pile Ea,stones bound with clay,Roman,"Phase 1, Phase 2",3b18fd156e3ba9b8a7b17cfa936d6543,G.IV.3,G.IV.3
B1.P.186a,PI-E0009e,pile Ee,stones bound with clay,Roman,"Phase 1, Phase 2",710c41bd8f8cc6039bd1f4d623f3d27c,F.IV.11,F.IV.11
B1.P.186a (assumed original extent based on detritus shown on map and discussion in Byrsa I: 129-130),PI-E0019r,pile Ee,stones bound with clay,Roman,"Phase 1, Phase 2",1619be3da0f94d46de73526c7887a461,"F.IV.11,12","F.IV.11; F.IV.12"
B1.P.186a,PI-E0008e,pile Eh,stones bound with clay,Roman,"Phase 1, Phase 2",d4891d8eb74ef56ce41a6fb123c98a72,F.IV.13,F.IV.13
assumed original width about 1.7 m,PI-E0017r,pile Eh,stones bound with clay,Roman,"Phase 1, Phase 2",900b27640d242167f0dd0d9f07881e1c,"F.IV.13,14","F.IV.13; F.IV.14"
B1.J.100b,PI-E0007e,pile El,stones bound with clay,Roman,"Phase 1, Phase 2",754b122ae943e1c4bf7b03ffa7384040,"E.V.6,7","E.V.6; E.V.7"
assumed original width and height about 1.65 m,PI-E0014r,pile El,stones bound with clay,Roman,"Phase 1, Phase 2",adc0367fdae90274e411635a43dc5e32,"E.V.6,7","E.V.6; E.V.7"
B1.P.186a,PI-C0019e,pile C19,opus caementicium,Roman,Phase 2,ca08aa1c23d7e02403b95d1844ab20d0,H.II.14,H.II.14
B1.P.186a,PI-C0018e,pile C18,opus caementicium,Roman,Phase 2,f4a022fc40f6edec7ba954122ca9f36c,"H.II.13; H.III.1","H.II.13; H.III.1"
